Nº DE INSCRICIÓN; TIPO ENTIDADE; NOME; ENDEREZO; CÓD. POSTAL; CÓDIGO DE PROVINCIA; PROVINCIA; CÓDIGO DE CONCELLO; CONCELLO; TELÉFONO; DATA DE ALTA; TIPO_MODALIDADE; MODALIDADE; TIPO_ESPECIALIDADE; ESPECIALIDADE
C-02941;CLUBE DEPORTIVO;C.ACTIVIDADES SUBACUÁTICAS" ARROAS";FINCA ILLA DO SAL. MONTE DO FIRMISTANS;15866;15;A CORUÑA;15002;AMES;981891119;04/02/1991;1;ACTIVIDADES SUBACUÁTICAS;108;BUCEO;
C-07569;CLUBE DEPORTIVO;C.D. CENTRO ECUESTRE LA CROUPE;QUISTILÁNS Nº26;15866;15;A CORUÑA;15002;AMES;981884066;21/10/2002;28;HÍPICA;0;;
C-03521;CLUBE DEPORTIVO;C.E DE TENIS DE MESA DE ORTIGUEIRA;ANXERIZ 10, 2ºE;15895;15;A CORUÑA;15002;AMES;686514681;24/03/1992;49;TENIS DE MESA;0;;
C-04290;CLUBE DEPORTIVO;C.E TAMBRESAR;RUA DA PEREGRINA, S/N;15220;15;A CORUÑA;15002;AMES;981-883152;15/04/1994;2;ATLETISMO;0;;
C-04290;CLUBE DEPORTIVO;C.E TAMBRESAR;RUA DA PEREGRINA, S/N;15220;15;A CORUÑA;15002;AMES;981-883152;15/04/1994;5;BALONCESTO;0;;
C-04290;CLUBE DEPORTIVO;C.E TAMBRESAR;RUA DA PEREGRINA, S/N;15220;15;A CORUÑA;15002;AMES;981-883152;15/04/1994;6;BALONMÁN;0;;
C-04290;CLUBE DEPORTIVO;C.E TAMBRESAR;RUA DA PEREGRINA, S/N;15220;15;A CORUÑA;15002;AMES;981-883152;15/04/1994;25;FÚTBOL SALA;0;;
C-04290;CLUBE DEPORTIVO;C.E TAMBRESAR;RUA DA PEREGRINA, S/N;15220;15;A CORUÑA;15002;AMES;981-883152;15/04/1994;54;VOLEIBOL;0;;
C-12972;CLUBE DEPORTIVO;C.F. VETERANOS BERTAMIRANS;LUGAR DE COIRA, 14;15895;15;A CORUÑA;15002;AMES;646396179;15/06/2017;24;FÚTBOL;0;;
C-08190;CLUBE DEPORTIVO;C.H. CENTRO ECUESTRE MAHÍA;CONDOMIÑA - ORTOÑO;15864;15;A CORUÑA;15002;AMES;981890384;29/06/2004;28;HÍPICA;0;;
C-10805;CLUBE DEPORTIVO;CABALLO DE SALTO.ES;AVDA. DA MAHIA, 57-3ºB;15220;15;A CORUÑA;15002;AMES;981884332;18/04/2011;28;HÍPICA;0;;
C-12167;CLUBE DEPORTIVO;CC REPEITIÑOS DA CAPILLA;RÚA AS CAMELIAS, 3-4, BAIXO A;15895;15;A CORUÑA;15002;AMES;628606179;09/01/2015;13;CICLISMO;0;;
C-12461;CLUBE DEPORTIVO;CLUB AMES TRIATLÓN;HOSPITAL, 1, 2 E;15220;15;A CORUÑA;15002;AMES;647276549;19/11/2015;2;ATLETISMO;212;TRIATLON;
C-12461;CLUBE DEPORTIVO;CLUB AMES TRIATLÓN;HOSPITAL, 1, 2 E;15220;15;A CORUÑA;15002;AMES;647276549;19/11/2015;13;CICLISMO;0;;
